web_scraper_order,web_scraper_start_url,name,category_link,name_divi,divi_link,description_divi,divi_title,pakket_divi,categories_divi
"1765314254-1","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","Wetenschappelijk onderzoek opioïden voor behandeling kortademigheid bij COPD","https://indiveo.nl/divis/wetenschappelijk-onderzoek-opioiden-voor-behandeling-kortademigheid-bij-copd/","Soms worden patiënten gevraagd om mee te werken aan een wetenschappelijk onderzoek. In deze Divi krijgen patiënten uitleg over het meewerken aan een onderzoek over opioïden bij COPD. Met een beeldverhaal wordt uitgelegd wat het onderzoek inhoudt en in welke vormen het medicijn wordt toegediend. Na het bekijken van deze Divi wat de bedoeling is van het onderzoek en wat er van hem of haar verwacht wordt. Daardoor is het gemakkelijker om te kiezen voor een deelname. 



Naast de informatie over het deelnemen aan het onderzoek, wordt er ook uitleg gegeven over de voor- en nadelen van een deelname en de rechten en plichten die bij het onderzoek horen. Ook krijgt de patiënt uitleg over hoe er met zijn gegevens omgegaan wordt.","Wetenschappelijk onderzoek opioïden voor behandeling kortademigheid bij COPD","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Longziekten, Wetenschappelijk onderzoek"
"1765314256-2","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","Wat is een biobank?","https://indiveo.nl/divis/wat-is-een-biobank/","Een patiënt kan toestemming geven voor het opslaan van lichaamsmaterialen. Dit heet een biobank. Deze materialen worden gebruikt voor onderzoek. 



In deze Divi wordt de patiënt geïnformeerd door middel van animaties, illustraties en tekst.","Wat is een biobank?","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Wetenschappelijk onderzoek"
"1765314258-3","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","Uitkomsten cementloze knieprothese","https://indiveo.nl/divis/uitkomsten-cementloze-knieprothese/","Er wordt wetenschappelijk onderzoek gedaan naar de uitkomsten van de ongecementeerde knieprothese. Er bestaan twee manieren om de knieprothese aan het boven- en onderbeen vast te maken: met botcement en zonder botcement. 



Hier krijgen patiënten informatie over het verloop van het onderzoek naar de ongecementeerde knieprothese en de verschillen tussen de ongecementeerde en de gecementeerde knieprothese.","Uitkomsten cementloze knieprothese","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Orthopedie, Wetenschappelijk onderzoek"
"1765314261-4","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","ROS1 Fusie","https://indiveo.nl/divis/ros1-fusie/","Het universitair ziekenhuis en de Hanzehogeschool in Groningen doen in samenwerking met de stichting Merels Wereld wetenschappelijk onderzoek naar ROS1 fusie, een zeldzame vorm van longkanker. Tijdens dit onderzoek kijken onderzoekers onder andere naar de effecten van verschillende medicijnen op deze vorm van longkanker. Onderzoekers hebben hiervoor weefsel of longvocht nodig van zoveel mogelijk mensen met ROS1 fusie longkanker. Deze Divi legt aan patiënten uit wat het onderzoek inhoudt, zodat zij goed kunnen overwegen of zij willen deelnemen aan het onderzoek.","ROS1 Fusie","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Oncologie, Wetenschappelijk onderzoek"
"1765314262-5","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","Recapture studie","https://indiveo.nl/divis/recapture-studie/","Een patiënt met COPD kan niet meer in staat zijn om voldoende zuurstof in te ademen en voldoende kooldioxide uit te ademen. De arts kan dan aan een patiënt vragen om mee te doen aan een wetenschappelijk onderzoek. Er wordt dan onderzoek gedaan naar het instellen van nachtelijke maskerbeademing.



De patiënt krijgt in deze Divi informatie over het onderzoek. Er wordt uitgelegd hoe het onderzoek werkt en wat de patiënt kan verwachten van het onderzoek.","Recapture studie","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Wetenschappelijk onderzoek"
"1765314265-6","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","High-TeC Study","https://indiveo.nl/divis/high-tec-study/","Wanneer patiënten gevraagd worden om mee te doen aan een wetenschappelijk onderzoek, moeten zij eerst goed uitleg krijgen over wat het onderzoek is en wat er van hen verwacht wordt.



Deze Divi maakten we samen met het UMCG. Patiënten krijgen uitleg over de High TeC studie, een onderzoek waarbij gekeken wordt of een hoge-luchtstroom-neusbril helpt bij het voorkomen van een longaanval bij patiënten met COPD. De animatie legt de gang van zaken tijdens het onderzoek uit. 



Deze informatie helpt patiënten vervolgens om een keuze te maken of ze als proefpersoon deel willen nemen.","High-TeC Study","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Wetenschappelijk onderzoek"
"1765314267-7","https://indiveo.nl/specialismen-zorg","Wetenschappelijk onderzoek","https://indiveo.nl/themas/wetenschappelijk-onderzoek/","Dedication Study","https://indiveo.nl/divis/dedication-study/","Wanneer patiënten gevraagd worden om mee te doen aan een wetenschappelijk onderzoek, moeten zij eerst goed uitleg krijgen over wat het onderzoek is en wat er van hen verwacht wordt.



Deze Divi maakten we samen met het Radboud UMC. Patiënten krijgen in deze Divi uitleg over de Dedication Study, een onderzoek waarbij gekeken wordt naar de bijwerkingen en voorspelbaarheid van deze bijwerkingen bij een lagere dosering immunotherapie. Het krijgen van een hoge en lage dosering wordt met elkaar vergeleken. 



Doordat patiënten in deze Divi duidelijke uitleg krijgen over het onderzoek, kunnen zij beslissen of zij aan het onderzoek willen meewerken.","Dedication Study","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Wetenschappelijk onderzoek"
"1765314271-8","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Zelf katheteriseren (Vrouw)","https://indiveo.nl/divis/zelf-katheteriseren-vrouw/","Katheterisatie is het leegmaken van de blaas met een katheter. Als iemand dat zelf doet, noemen we dit zelfkatheterisatie.  Zelfkatheterisatie kan de patiënt thuis toepassen om eventuele problemen met plassen te verhelpen.



In deze Divi krijgen vrouwelijke patiënten stap voor stap uitleg over hoe zelfkatheteriseren werkt en in welke posities dat allemaal mogelijk is. De Divi helpt vrouwen om de handelingen goed onder te knie te krijgen. Daarnaast krijgen patiënten in de Divi ook antwoord op veelgestelde vragen.



Naast deze versie is er ook een versie voor mannen beschikbaar.","Zelf katheteriseren (Vrouw)","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314273-9","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Zelf katheteriseren (Man)","https://indiveo.nl/divis/zelf-katheteriseren-man/","Katheterisatie is het leegmaken van de blaas met een katheter. Als iemand dat zelf doet, noemen we dit zelfkatheterisatie.  Zelfkatheterisatie kan de patiënt thuis toepassen om eventuele problemen met plassen te verhelpen.



In deze Divi krijgen mannelijke patiënten stap voor stap uitleg over hoe zelf katheteriseren werkt en in welke posities dat allemaal mogelijk is. De Divi helpt de patiënt om de handelingen goed onder te knie te krijgen. Daarnaast krijgen patiënten in de Divi ook antwoord op veelgestelde vragen.



Naast deze versie is er ook een versie voor vrouwen beschikbaar.","Zelf katheteriseren (Man)","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314275-10","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Verzorging van de nefrostomiekatheter","https://indiveo.nl/divis/verzorging-van-de-nefrostomiekatheter/","Een nefrostomiekatheter is een slangetje dat in uw nier wordt aangebracht. Het slangetje komt door de zij naar buiten. Door het slangetje kan uw urine via de nier direct weg stromen. Het is belangrijk dat de nefrostomiekatheter op zijn plek blijft zitten. Ook is de verzorging van de nefrostomiekatheter erg belangrijk. 



In deze Divi krijgen patiënten informatie over de nefrostomiekatheter en de verzorging ervan. Ook krijgen zij meer informatie over het gebruik van de dagzak en de nachtzak.","Verzorging van de nefrostomiekatheter","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
